,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
140,Black & Tan,13282,Beer,Pint glass,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,Ale,1 part Bass pale ,Guinness stout,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
141,Black Forest Shake,15951,Milk / Float / Shake,Collins Glass,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well.",Ice," cubes
",Chocolate syrup,"
",Cherry brandy,"
",Vodka,"
",Milk,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
142,Black Russian,11102,Ordinary Drink,Old-fashioned glass,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.,Coffee liqueur,3/4 oz ,Vodka,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
143,Black and Brown,16403,Beer,Beer pilsner,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.,Guinness stout,1/2 ,Root beer,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
144,Blackthorn,11106,Ordinary Drink,Cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Sweet Vermouth,1 oz ,Sloe gin,1 1/2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
145,Bleeding Surgeon,16295,Soft Drink / Soda,Collins glass,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.",Dark rum,1 shot ,Orange,1 slice ,Surge,1/2 glass ,Cranberry juice,1/2 glass ,, ,, ,, ,, ,, ,,,,,,,,,,,,
146,Blind Russian,14356,Milk / Float / Shake,Collins glass,Fill glass with ice. Add all liquers. Add milk. shake.,Bailey's irish cream,3/4 oz ,Godiva liqueur,3/4 oz ,Kahlua,3/4 oz ,Butterscotch schnapps,1/2 oz ,Milk," to fill
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
147,Bloody Maria,11112,Ordinary Drink,Old-fashioned glass,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,Tequila,1 oz ,Tomato juice,2 oz ,Lemon juice,1 dash ,Tabasco sauce,1 dash ,Celery salt,1 dash ,Lemon,1 slice ,, ,, ,, ,, ,, ,,,,,,,,
148,Bloody Mary,11113,Ordinary Drink,Old-fashioned glass,"Stirring gently, pour all ingredients into highball glass. Garnish.",Vodka,1 1/2 oz ,Tomato juice,3 oz ,Lemon juice,1 dash ,Worcestershire sauce,1/2 tsp ,Tabasco sauce,2-3 drops ,Lime,1 wedge ,, ,, ,, ,, ,, ,,,,,,,,
149,Blue Lagoon,11117,Ordinary Drink,Highball glass,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",Vodka,1 oz ,Blue Curacao,1 oz ,Lemonade,"
",Cherry,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
150,Blue Margarita,11118,Ordinary Drink,Cocktail glass,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",Tequila,1 1/2 oz ,Blue Curacao,1 oz ,Lime juice,1 oz ,Salt,Coarse ,, ,, ,, ,, ,, ,,,,,,,,,,,,
151,Blue Mountain,11119,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.",Añejo rum,1 1/2 oz ,Tia maria,1/2 oz ,Vodka,1/2 oz ,Orange juice,1 oz ,Lemon juice,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,
152,Bluebird,11120,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",Gin,1 1/2 oz ,Triple sec,1/2 oz ,Blue Curacao,1/2 oz ,Bitters,2 dashes ,Maraschino cherry,1 ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,
153,Bob Marley,13395,Shot,Shot glass,Layer in a 2 oz shot glass or pony glass,Midori melon liqueur,1/2 oz ,Jägermeister,1/2 oz ,Goldschlager,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
154,Bobby Burns Cocktail,11121,Ordinary Drink,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Sweet Vermouth,1 1/2 oz ,Scotch,1 1/2 oz ,Benedictine,1 1/4 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
155,Boomerang,11124,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",Gin,2 oz ,Dry Vermouth,1/2 oz ,Bitters,2 dashes ,Maraschino liqueur,1/2 tsp ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
156,Boozy Snickers Milkshake,17221,Milk / Float / Shake,Mason jar,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.",Vanilla Ice-Cream,3 cups ,Milk,1 cup ,Godiva liqueur,1/2 cup ,Whipped Cream,for topping,caramel sauce,"4 tablespoons
",chocolate sauce,"4 tablespoons
",Mini-snickers bars,"15
",,,,,,,,,,,,,,,,
157,Bora Bora,12572,Cocktail,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",Pineapple juice,10 cl ,Passion fruit juice,6 cl ,Lemon juice,1 cl ,Grenadine,1 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,
158,Boston Sidecar,11128,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,3/4 oz ,Brandy,3/4 oz ,Triple sec,3/4 oz ,Lime,Juice of 1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
159,Boston Sour,11129,Ordinary Drink,Whiskey sour glass,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",Blended whiskey,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1 ,Lemon,1 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
160,Bourbon Sling,11146,Ordinary Drink,Highball glass,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.",Sugar,1 tsp superfine ,Water,2 tsp ,Lemon juice,1 oz ,Bourbon,2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,
161,Bourbon Sour,11147,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.",Bourbon,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
162,Boxcar,11149,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Gin,1 1/2 oz ,Triple sec,1 oz ,Lemon juice,1 tsp ,Grenadine,1/2 tsp ,Egg white,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
163,Brain Fart,17120,Punch / Party Drink,Punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,Everclear,1 fifth ,Vodka,1 fifth Smirnoff red label ,Mountain Dew,2 L ,Surge,2 L ,Lemon juice,1 small bottle ,Rum,1 pint ,, ,, ,, ,, ,, ,,,,,,,,
164,Brainteaser,13405,Shot,Shot Glass,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.",Sambuca,30 ml white ,Erin Cream,30 ml ,Advocaat,5 ml ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
165,Bramble,17210,Ordinary Drink,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",Gin,4 cl,lemon juice,1.5 cl,Sugar syrup,1 cl,Creme de Mure,1.5 cl,,,, ,, ,,,,,,,,,,,,,,,,
166,Brandon and Will's Coke Float,16447,Soft Drink / Soda,Beer mug,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy.",Vanilla ice-cream,2 scoops ,Coca-Cola,1 can ,Bourbon,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
167,Brandy Alexander,11016,Ordinary Drink,Cocktail glass,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Brandy,1 oz ,Creme de Cacao,1 oz white ,Light cream,1 oz ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
168,Brandy Cobbler,11157,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.",Sugar,1 tsp superfine ,Club soda,3 oz ,Lemon,1 ,Brandy,2 oz ,Maraschino cherry,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
169,Brandy Flip,11164,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",Brandy,2 oz ,Egg,1 whole ,Sugar,1 tsp superfine ,Light cream,1/2 oz ,Nutmeg,1/8 tsp grated ,, ,, ,, ,, ,, ,,,,,,,,,,
170,Brandy Sour,11170,Ordinary Drink,Whiskey sour glass,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.",Brandy,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1/2 tsp ,Lemon,1/2 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
171,Brave Bull Shooter,13068,Shot,Shot glass,Pour Tabasco into bottom of shot glass and fill with tequila.,Tequila,1/2 oz ,Tabasco sauce,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
172,Bruce's Puce,13066,Shot,Shot glass,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)",Grenadine,"
",Kahlua,"
",Bailey's irish cream,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
173,Bruised Heart,16998,Shot,Shot glass,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",Vodka,1/2 oz ,Chambord raspberry liqueur,1/2 oz ,Peachtree schnapps,1/2 oz ,Cranberry juice,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
174,Bubble Gum,14730,Shot,Shot glass,Layer in order into a shot glass.,Vodka,1/4 ,Banana liqueur,1/4 ,Orange juice,1/4 ,Peach schnapps,1/4 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
175,Buccaneer,17035,Beer,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,Corona,1 ,Bacardi Limon,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
176,Bumble Bee #1,14538,Shot,Shot glass,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",Bailey's irish cream,1/3 oz ,Kahlua,1/3 oz ,Sambuca,1/3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
177,Butter Baby,17220,Milk / Float / Shake,Beer mug,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,Vanilla Ice-Cream,2 scoops ,Butterscotch schnapps,1 part ,Milk,full glass ,Vodka,2 parts ,,"
",,"
",,"
",,,,,,,,,,,,,,,,
178,Cafe Savoy,14181,Coffee / Tea,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",Coffee,"
",Milk,1/2 oz ,Triple sec,1/2 oz ,Brandy, ,, ,, ,, ,, ,,,,,,,,,,,,,,
179,Caipirinha,11202,Ordinary Drink,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,Sugar,2 tsp,Lime,1 ,Cachaca,2 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
180,Caipirissima,13206,Ordinary Drink,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,Lime,2 ,Sugar,2 tblsp ,White rum,2-3 oz ,Ice,crushed ,, ,, ,, ,, ,, ,,,,,,,,,,,,
181,California Lemonade,11205,Ordinary Drink,Collins glass,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,Blended whiskey,2 oz ,Lemon,Juice of 1 ,Lime,Juice of 1 ,Powdered sugar,1 tblsp ,Grenadine,1/4 tsp ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
182,California Root Beer,14282,Soft Drink / Soda,Highball glass,Put Kahlua and Galliano in highball glass fill with soda,Kahlua,3/4 oz ,Galliano,3/4 oz ,Soda water,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
183,Campari Beer,16047,Beer,Beer mug,Use a 15 oz glass. Add Campari first. Fill with beer.,Lager,1 bottle ,Campari,1 1/2 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
184,Caribbean Boilermaker,17065,Beer,Beer pilsner,Pour the Corona into an 18oz beer glass pour the rum into the beer.,Corona,1 bottle ,Light rum,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
185,Caribbean Orange Liqueur,12796,Homemade Liqueur,Collins Glass,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",Orange,3 large ,Vodka,3 cups ,Sugar,1 1/3 cup superfine ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
186,Casino,17185,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,Gin,2 oz ,Maraschino liqueur,1/4 tsp ,Lemon juice,1/4 tsp ,Orange bitters,2 dashes ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
187,Casino Royale,11224,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Gin,2 oz ,Lemon juice,1/2 oz ,Maraschino liqueur,1 tsp ,Orange bitters,1 dash ,Egg yolk,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
188,Castillian Hot Chocolate,12730,Cocoa,Coffee mug,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.",Cocoa powder,1/2 cup ,Sugar,1 cup ,Cornstarch,7 tsp ,Water,1/2 cup ,Milk,1 qt ,, ,, ,, ,, ,, ,,,,,,,,,,
189,Champagne Cocktail,11227,Ordinary Drink,Champagne flute,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.,Champagne,Chilled ,Sugar,1 piece ,Bitters,2 dashes ,Lemon peel,1 twist of ,Cognac,1 dash,, ,, ,, ,, ,,,,,,,,,,,,
190,Cherry Electric Lemonade,17174,Cocktail,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,Gin,1 oz,Tequila,1 oz,Vodka,1 oz,White rum,1 oz,Triple Sec,1 oz,Cherry Grenadine,1 oz,Sweet and sour,1 oz,Club soda,3 oz,,,,,,,,,,,,,,
191,Cherry Rum,11239,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Light rum,1 1/4 oz ,Cherry brandy,1 1/2 tsp ,Light cream,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
192,Chicago Fizz,11242,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Light rum,1 oz ,Port,1 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1 ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
193,Chocolate Beverage,12732,Cocoa,Coffee mug,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",Milk,6 cups ,Chocolate,3 oz Mexican ,Cinnamon,1 tsp powdered ,Egg,3 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
194,Chocolate Black Russian,11243,Ordinary Drink,Champagne flute,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.,Kahlua,1 oz ,Vodka,1/2 oz ,Chocolate ice-cream,5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
195,Chocolate Drink,12734,Cocoa,Coffee mug,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",Chocolate,125 gr,Milk,3/4 L ,Water,,,,,,,,,,,,,,,,,,,,,,,,,
196,Chocolate Milk,13328,Shot,Shot Glass,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",Chocolate liqueur,1/2 shot ,Milk,1/2 shot ,Amaretto,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
197,Chocolate Monkey,15615,Milk / Float / Shake,Parfait glass,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry.",Banana liqueur,1 shot ,Creme de Cacao,2 shots ,Chocolate ice-cream,2 scoops ,Chocolate syrup,1 oz ,Chocolate milk,4 oz ,Whipped cream,1 ,Cherry,1 ,Banana,1 piece ,, ,, ,, ,, ,, ,,,,
198,Citrus Coke,17135,Soft Drink / Soda,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,Bacardi Limon,1 part ,Coca-Cola,2 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
199,City Slicker,11251,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Brandy,2 oz ,Triple sec,1/2 oz ,Lemon juice,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
200,Classic Old-Fashioned,11145,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick.",Bitters,3 dashes ,Water,1 tsp ,Sugar,1 ,Bourbon,3 oz ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
201,Clove Cocktail,11255,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",Sweet Vermouth,1 oz ,Sloe gin,1/2 oz ,Wine,1/2 oz Muscatel ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
202,Clover Club,17186,Ordinary Drink,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",Gin,1 1/2 oz ,Grenadine,2 tsp ,Lemon,Juice of 1/2 ,Egg white,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
203,Coffee Liqueur,12798,Homemade Liqueur,Collins Glass,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",Coffee,10 tblsp instant ,Vanilla extract,4 tblsp ,Sugar,2 1/2 cups ,Vodka,1 qt ,Water,2 1/2 cups ,, ,, ,, ,, ,, ,,,,,,,,,,
204,Coffee-Vodka,12800,Homemade Liqueur,Collins Glass,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",Water,2 cups ,Sugar,2 cups white ,Coffee,1/2 cup instant ,Vanilla,1/2 ,Vodka,1 1/2 cup ,Caramel coloring,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
205,Coke and Drops,17108,Soft Drink / Soda,Cocktail glass,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",Coca-Cola,1 dl ,Lemon juice,7 drops ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
206,Cosmopolitan,17196,Cocktail,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,Absolut Citron,1 1/4 oz ,Lime juice,1/4 oz ,Cointreau,1/4 oz ,Cranberry juice,1/4 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,
207,Cosmopolitan Martini,14133,Cocktail,Cocktail Glass,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass.",Cointreau,1/2 oz ,Vodka,1 oz ,Lime,Juice of 1/2 ,Cranberry juice,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
208,Cranberry Cordial,12802,Homemade Liqueur,Collins Glass,"Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks.",Cranberries,1/2 kg chopped ,Sugar,3/4 L ,Light rum,1/2 L ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
209,Cranberry Punch,12890,Punch / Party Drink,Punch Bowl,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",Cranberry juice,4 cups ,Sugar,1 1/2 cup ,Pineapple juice,4 cups ,Almond flavoring,1 tblsp ,Ginger ale,2 qt ,, ,, ,, ,, ,, ,,,,,,,,,,
210,Cream Soda,14608,Cocktail,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,Spiced rum,1 oz ,Ginger ale,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
211,Creme de Menthe,12808,Homemade Liqueur,Collins Glass,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.,Sugar,8 cups ,Water,6 cups ,Grain alcohol,1 pint ,Peppermint extract,1 oz pure ,Food coloring,1 tblsp green ,, ,, ,, ,, ,, ,,,,,,,,,,
212,Cuba Libra,13751,Ordinary Drink,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,Dark rum,1-2 shot ,Lime,Squeeze ,Coca-Cola,Fill with ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
213,Cuba Libre,11288,Ordinary Drink,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,Light rum,2 oz ,Lime,Juice of 1/2 ,Coca-Cola,,,,,,,,,,,,,,,,,,,,,,,,,
214,Daiquiri,11291,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Light rum,1 1/2 oz ,Lime,Juice of 1/2 ,Powdered sugar,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
215,Damned if you do,13194,Shot,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,Whiskey,0.75 oz ,Hot Damn,0.25 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
216,Danbooka,15409,Coffee / Tea,Coffee Mug,pour it in and mix it.,Coffee,3 parts ,Everclear,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
217,Dark Caipirinha,17177,Cocktail,Highball glass,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",demerara Sugar,2 tsp ,Lime,1,Cachaca,2 1/2 oz,,,,,,,,,,,,,,,,,,,,,,,,
218,Dark and Stormy,17211,Ordinary Drink,Highball glass,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,Dark Rum,5 cl,Ginger Beer,10 cl,,,,,,,, ,, ,,,,,,,,,,,,,,,,
219,Darkwood Sling,14482,Soft Drink / Soda,Cocktail glass,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.",Cherry Heering,1 part ,Soda water,1 part ,Orange juice,1 part ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
220,Derby,17187,Ordinary Drink,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,gin,6 cl,Peach Bitters,2 dashes,Mint,2 Fresh leaves,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
221,Diesel,13128,Beer,Pint glass,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,Lager,1/2 pint ,Cider,1/2 pint ,Blackcurrant cordial,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
